Team ID , Team  , Region , Country , Track , Section , Size , Status
1979,SDSZ_China,Asia,China,,High_school,12,Accepted
2018,SDU-Denmark,Europe,Denmark,,Overgrad,17,Accepted
2132,ShanghaitechChina,Asia,China,,Undergrad,15,Accepted
2152,ShanghaiTechChina_B,Asia,China,,Undergrad,12,Accepted
2016,Sheffield,Europe,United Kingdom,,Undergrad,20,Accepted
1928,Shenzhen_SFLS,Asia,China,,High_school,28,Accepted
1969,SJTU-BioX-Shanghai,Asia,China,,Undergrad,14,Accepted
2162,SJTU-Software,Asia,China,,Undergrad,16,Accepted
1965,Slovenia,Europe,Slovenia,,Overgrad,20,Accepted
1892,SMS_Shenzhen,Asia,China,,High_school,21,Accepted
1881,SPS_singapore,Asia,Unspecified,,Team not yet accepted,1,Pending
1948,SRM_Chennai,Asia,India,,Undergrad,21,Accepted
2027,Stanford-Brown,North America,United States,,Undergrad,19,Accepted
2144,Stockholm,Europe,Sweden,,Overgrad,16,Accepted
1908,Stony_Brook,North America,United States,,Undergrad,32,Accepted
2102,StuyGem,North America,United States,,High_school,1,Pending
1943,SUSTech_Shenzhen,Asia,China,,Undergrad,21,Accepted
2113,SVCE_CHENNAI,Asia,India,,Undergrad,22,Accepted
1996,Sydney_Australia,Asia,Australia,,Undergrad,11,Accepted
1926,SYSU-CHINA,Asia,China,,Undergrad,12,Accepted
1888,SYSU-MED,Asia,Unspecified,,Team not yet accepted,0,Pending
1993,SYSU-MEDICINE,Asia,China,,Undergrad,17,Accepted
1883,SYSU-Software,Asia,China,,Undergrad,33,Accepted
1884,SZU-China,Asia,China,,Undergrad,21,Accepted
1898,TAS_Taipei,Asia,Taiwan,,High_school,27,Accepted
2011,TCU_Taiwan,Asia,Taiwan,,Undergrad,14,Accepted
2069,Tec-Chihuahua,Latin America,Mexico,,Undergrad,21,Accepted
1903,TEC-Costa_Rica,Latin America,Costa Rica,,Undergrad,18,Accepted
2055,Tec-Monterrey,Latin America,Mexico,,Undergrad,17,Accepted
1904,TecCEM,Latin America,Mexico,,Undergrad,20,Accepted
1905,TecCEM_HS,Latin America,Mexico,,High_school,21,Accepted
1992,Technion_Israel,Asia,Israel,,Overgrad,19,Accepted
2081,TEC_GenetiX_CCM,Latin America,Mexico,,High_school,10,Accepted
2061,Tel-Hai,Asia,Israel,,Overgrad,13,Accepted
2110,Tianjin,Asia,China,,Undergrad,24,Accepted
1921,TJUSLS_China,Asia,China,,Undergrad,23,Accepted
1887,TMMU_China,Asia,China,,Undergrad,10,Accepted
1949,Tokyo_Tech,Asia,Japan,,Undergrad,26,Accepted
1924,Tonbridge,Europe,United Kingdom,,High_school,1,Pending
1922,Tongji_Shanghai,Asia,China,,Undergrad,17,Accepted
2048,Toronto,North America,Canada,,Undergrad,8,Accepted
1937,Toulouse_France,Europe,France,,Overgrad,15,Accepted
2090,TP_CC_SanDiego,North America,United States,,High_school,24,Accepted
1984,TrinityCollegeDublin,Europe,Ireland,,Undergrad,14,Accepted
1923,Tsinghua,Asia,China,,Undergrad,17,Accepted
1918,Tsinghua-A,Asia,China,,Undergrad,12,Accepted
2065,TU-Eindhoven,Europe,Netherlands,,Undergrad,12,Accepted
1882,Tuebingen,Europe,Germany,,Overgrad,22,Accepted
2087,Tufts,North America,United States,,Undergrad,7,Accepted
1976,TU_Darmstadt,Europe,Germany,,Overgrad,35,Accepted
1890,TU_Delft,Europe,Netherlands,,Overgrad,16,Accepted
2014,UAM_Poznan,Europe,Poland,,Overgrad,9,Accepted
2029,UBonn_HBRS,Europe,Germany,,Undergrad,19,Accepted
2150,UCAS,Asia,China,,Undergrad,18,Accepted
2002,UCC_Ireland,Europe,Ireland,,Undergrad,13,Accepted
2176,UChicago,North America,United States,,Undergrad,12,Accepted
1954,UCL,Europe,United Kingdom,,Undergrad,19,Accepted
2068,UCLA,North America,United States,,Undergrad,14,Accepted
2093,UCLouvain,Europe,Belgium,,Overgrad,14,Accepted
1953,UConn,North America,United States,,Undergrad,12,Accepted
2071,UCSC,North America,United States,,Undergrad,22,Accepted
2159,UCSD_Auditory,North America,United States,,Team not yet accepted,1,Pending
1916,UC_Davis,North America,United States,,Undergrad,10,Accepted
2085,UC_San_Diego,North America,United States,,Unspecified,4,Accepted
2013,UESTC-China,Asia,China,,Undergrad,21,Accepted
2025,UESTC-software,Asia,China,,Undergrad,17,Accepted
2123,UFAM-UEA_Brazil,Latin America,Brazil,,Overgrad,9,Accepted
1939,UGA-Georgia,North America,United States,,Overgrad,16,Accepted
1896,UGent_Belgium,Europe,Belgium,,Overgrad,10,Accepted
2050,UI-Indonesia,Asia,Indonesia,,Undergrad,25,Accepted
1927,UiOslo_Norway,Europe,Norway,,Overgrad,11,Accepted
1987,UIUC_Illinois,North America,United States,,Undergrad,15,Accepted
2007,ULV-LC-CV,North America,United States,,Undergrad,24,Accepted
2032,UMaryland,North America,United States,,Undergrad,12,Accepted
2138,UMass-Dartmouth,North America,United States,,Undergrad,8,Accepted
2063,UNC-Chapel_Hill,North America,United States,,Undergrad,9,Accepted
2086,UNebraska-Lincoln,North America,United States,,Undergrad,12,Accepted
